X_x,Y_x,ExtractDate_x,Week,TotalweeklyVaccines,Male_x,Female_x,NA_x,Moderna_x,Pfizer_x,Janssen_x,AstraZeneca_x,Partial_Age0to9,Partial_Age10to19,Partial_Age20to29,Partial_Age30to39,Partial_Age40to49,Partial_Age50to59,Partial_Age60to69,Partial_Age70to79,Partial_Age80_,Partial_NA,ParCum_Age0to9,ParCum_Age10to19,ParCum_Age20to29,ParCum_Age30to39,ParCum_Age40to49,ParCum_Age50to59,ParCum_Age60to69,ParCum_Age70to79,ParCum_80_,ParCum_NA,ParPer_Age0to9,ParPer_Age10to19,ParPer_Age20to29,ParPer_Age30to39,ParPer_Age40to49,ParPer_Age50to59,ParPer_Age60to69,ParPer_Age70to79,ParPer_80_,ParPer_NA,Fully_Age0to9,Fully_Age10to19,Fully_Age20to29,Fully_Age30to39,Fully_Age40to49,Fully_Age50to59,Fully_Age60to69,Fully_Age70to79,Fully_Age80_,Fully_NA,FullyCum_Age0to9,FullyCum_Age10to19,FullyCum_Age20to29,FullyCum_Age30to39,FullyCum_Age40to49,FullyCum_Age50to59,FullyCum_Age60to69,FullyCum_Age70to79,FullyCum_80_,FullyCum_NA,FullyPer_Age0to9,FullyPer_Age10to19,FullyPer_Age20to29,FullyPer_Age30to39,FullyPer_Age40to49,FullyPer_Age50to59,FullyPer_Age60to69,FullyPer_Age70to79,FullyPer_80_,FullyPer_NA,ObjectId_x,X_y,Y_y,ExtractDate_y,Latitude,Longitude,EpiWeek,WeeklyBoosterVaccines,Female_y,Male_y,NA_y,Moderna_y,Pfizer_y,AstraZeneca_y,Janssen_y,AD_Moderna,AD_Pfizer,AD_AstraZeneca,AD_Janssen,ID_Moderna,ID_Pfizer,ID_AstraZeneca,ID_Janssen,AD_Age0to9,AD_Age10to19,AD_Age20to29,AD_Age30to39,AD_Age40to49,AD_Age50to59,AD_Age60to69,AD_Age70to79,AD_Age80_,AD_NA,AD_Age0to9_Cum,AD_Age10to19_Cum,AD_Age20to29_Cum,AD_Age30to39_Cum,AD_Age40to49_Cum,AD_Age50to59_Cum,AD_Age60to69_Cum,AD_Age70to79_Cum,AD_Age80__Cum,AD_NA_Cum,BoosterPer_Age0to9,BoosterPer_Age10to19,BoosterPer_Age20to29,BoosterPer_Age30to39,BoosterPer_Age40to49,BoosterPer_Age50to59,BoosterPer_Age60to69,BoosterPer_Age70to79,BoosterPer_Age80_,BoosterPer_NA,ID_Age0to9,ID_Age10to19,ID_Age20to29,ID_Age30to39,ID_Age40to49,ID_Age50to59,ID_Age60to69,ID_Age70to79,ID_Age80_,ID_NA,ID_Age0to9_Cum,ID_Age10to19_Cum,ID_Age20to29_Cum,ID_Age30to39_Cum,ID_Age40to49_Cum,ID_Age50to59_Cum,ID_Age60to69_Cum,ID_Age70to79_Cum,ID_Age80__Cum,ID_NA_Cum,WeeklyAdditionalDose2,AD2_Age05to11,AD2_Age12to19,AD2_Age20to29,AD2_Age30to39,AD2_Age40to49,AD2_Age50to59,AD2_Age60to69,AD2_Age70to79,AD2_Age80_,AD2_NA,AD2_Age05to11_Cum,AD2_Age12to19_Cum,AD2_Age20to29_Cum,AD2_Age30to39_Cum,AD2_Age40to49_Cum,AD2_Age50to59_Cum,AD2_Age60to69_Cum,AD2_Age70to79_Cum,AD2_Age80__Cum,AD2_NA_Cum,Booster2Per_Age05to11,Booster2Per_Age12to19,Booster2Per_Age20to29,Booster2Per_Age30to39,Booster2Per_Age40to49,Booster2Per_Age50to59,Booster2Per_Age60to69,Booster2Per_Age70to79,Booster2Per_Age80_,Booster2Per_NA,WeeklyAdditionalDose3,AD3_Age05to11,AD3_Age12to19,AD3_Age20to29,AD3_Age30to39,AD3_Age40to49,AD3_Age50to59,AD3_Age60to69,AD3_Age70to79,AD3_Age80_,AD3_NA,AD3_Age05to11_cum,AD3_Age12to19_cum,AD3_Age20to29_cum,AD3_Age30to39_cum,AD3_Age40to49_cum,AD3_Age50to59_cum,AD3_Age60to69_cum,AD3_Age70to79_cum,AD3_Age80__cum,AD3_NA_cum,Booster3Per_Age05to11,Booster3Per_Age12to19,Booster3Per_Age20to29,Booster3Per_Age30to39,Booster3Per_Age40to49,Booster3Per_Age50to59,Booster3Per_Age60to69,Booster3Per_Age70to79,Booster3Per_Age80_,Booster3Per_NA,WeeklyAdditionalDose4,AD4_Age05to11,AD4_Age12to19,AD4_Age20to29,AD4_Age30to39,AD4_Age40to49,AD4_Age50to59,AD4_Age60to69,AD4_Age70to79,AD4_Age80_,AD4_NA,AD4_Age05to11_cum,AD4_Age12to19_cum,AD4_Age20to29_cum,AD4_Age30to39_cum,AD4_Age40to49_cum,AD4_Age50to59_cum,AD4_Age60to69_cum,AD4_Age70to79_cum,AD4_Age80__cum,AD4_NA_cum,Booster4Per_Age05to11,Booster4Per_Age12to19,Booster4Per_Age20to29,Booster4Per_Age30to39,Booster4Per_Age40to49,Booster4Per_Age50to59,Booster4Per_Age60to69,Booster4Per_Age70to79,Booster4Per_Age80_,Booster4Per_NA,ObjectId_y
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2020-W53,4076,1304,2772,0,10,4052,0,12,1.0,2.0,493.0,1228.0,1005.0,872.0,406.0,34.0,25.0,0.0,1.0,2.0,493.0,1228.0,1005.0,872.0,406.0,34.0,25.0,0.0,1.28079839848968e-06,3.61842938454135e-06,0.0007971967135444,0.0017859298397171,0.0012816261987349,0.001372765713602,0.0007990159901599,9.71675654666472e-05,0.0001363765301446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W01,44220,11846,32374,0,28,44148,1,43,0.0,4.0,4486.0,10318.0,11622.0,10625.0,5685.0,508.0,896.0,2.0,1.0,6.0,4979.0,11546.0,12627.0,11497.0,6091.0,542.0,921.0,2.0,1.28079839848968e-06,1.0855288153624e-05,0.0080512016972366,0.0167918126460703,0.0161025811058968,0.0180994121666084,0.0119872078720787,0.0015489653083212,0.0050241113705295,inf,0.0,2.0,11.0,29.0,9.0,7.0,5.0,3.0,9.0,0.0,0.0,2.0,11.0,29.0,9.0,7.0,5.0,3.0,9.0,0.0,0.0,3.61842938454135e-06,1.77873506064678e-05,4.21758675503238e-05,1.147724954091e-05,1.10199082513924e-05,9.84009840098401e-06,8.57360871764534e-06,4.90955508520806e-05,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W02,53145,14057,39088,0,1946,51118,1,80,3.0,9.0,4129.0,8743.0,11767.0,12057.0,8054.0,2342.0,5978.0,6.0,4.0,15.0,9108.0,20289.0,24394.0,23554.0,14145.0,2884.0,6899.0,8.0,5.12319359395873e-06,2.71382203840601e-05,0.0147279263021553,0.0295071095423627,0.0311084472556621,0.0370804169933282,0.0278376383763838,0.0082420958472297,0.0376344672587226,inf,1.0,0.0,9.0,25.0,9.0,6.0,4.0,2.0,2.0,0.0,1.0,2.0,20.0,54.0,18.0,13.0,9.0,5.0,11.0,0.0,1.28079839848968e-06,3.61842938454135e-06,3.23406374663051e-05,7.85343740592236e-05,2.295449908182e-05,2.04655438954431e-05,1.77121771217712e-05,1.42893478627422e-05,6.0005673263654e-05,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W03,50222,14964,35258,0,51,50000,1,169,0.0,11.0,3314.0,6304.0,7575.0,8181.0,6197.0,3616.0,11602.0,8.0,4.0,26.0,12422.0,26593.0,31969.0,31735.0,20342.0,6500.0,18501.0,16.0,5.12319359395873e-06,4.70395819990375e-05,0.0200867699303221,0.0386752705436469,0.0407684656192614,0.0499595411939913,0.0400334563345633,0.0185761522215649,0.10092408736826,inf,0.0,0.0,394.0,985.0,851.0,773.0,375.0,25.0,12.0,0.0,1.0,2.0,414.0,1039.0,869.0,786.0,384.0,30.0,23.0,0.0,1.28079839848968e-06,3.61842938454135e-06,0.0006694511955525,0.0015110595305098,0.0011081922056723,0.0012373782693706,0.0007557195571955,8.57360871764534e-05,0.000125466407733,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W04,51949,15066,36883,0,35,51652,1,261,0.0,2.0,834.0,1430.0,1723.0,1608.0,1495.0,1361.0,691.0,1.0,4.0,28.0,13256.0,28023.0,33692.0,33343.0,21837.0,7861.0,19192.0,17.0,5.12319359395873e-06,5.06580113835788e-05,0.021435374512667,0.040754977115956,0.0429657212813711,0.0524909715465969,0.0429756457564576,0.0224657127098034,0.104693534661459,inf,0.0,2.0,4291.0,9894.0,11374.0,10384.0,5577.0,495.0,785.0,2.0,1.0,4.0,4705.0,10933.0,12243.0,11170.0,5961.0,525.0,808.0,2.0,1.28079839848968e-06,7.23685876908269e-06,0.0076081349639482,0.0159003020664721,0.0156128851254846,0.0175846250240077,0.0117313653136531,0.0015003815255879,0.0044076894542756,inf,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W05,56901,14810,42090,1,67,56494,3,336,0.0,4.0,1129.0,2002.0,2114.0,2048.0,1337.0,417.0,378.0,0.0,4.0,32.0,14385.0,30025.0,35806.0,35391.0,23174.0,8278.0,19570.0,17.0,5.12319359395873e-06,5.78948701526615e-05,0.0232610034976399,0.0436665663171887,0.045661599673536,0.0557150818464329,0.0456068880688807,0.0236574443215561,0.106755547797246,inf,0.0,8.0,3720.0,7893.0,10516.0,10906.0,7202.0,1994.0,5231.0,5.0,1.0,12.0,8425.0,18826.0,22759.0,22076.0,13163.0,2519.0,6039.0,7.0,1.28079839848968e-06,2.17105763072481e-05,0.013623493532681,0.0273794097414619,0.0290234135890635,0.0347536420796771,0.0259050430504305,0.0071989734532495,0.0329431146217461,inf,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W06,32809,10096,22713,0,2008,15563,5,15233,0.0,1.0,2363.0,4352.0,5603.0,5839.0,4222.0,1614.0,2557.0,6.0,4.0,33.0,16748.0,34377.0,41409.0,41230.0,27396.0,9892.0,22127.0,23.0,5.12319359395873e-06,5.97040848449322e-05,0.0270820498142839,0.049995855130258,0.052806825137727,0.0649072596007015,0.0539158671586716,0.0282700458116492,0.120704139300443,inf,0.0,0.0,531.0,1197.0,1572.0,1431.0,861.0,282.0,383.0,0.0,1.0,12.0,8956.0,20023.0,24331.0,23507.0,14024.0,2801.0,6422.0,7.0,1.28079839848968e-06,2.17105763072481e-05,0.0144821374574114,0.0291202550331081,0.0310281065088757,0.0370064261807832,0.02759950799508,0.0080048926727082,0.0350324030635624,inf,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W07,87105,26008,61097,0,1225,63087,10,22782,0.0,3.0,3718.0,5267.0,6217.0,6710.0,4594.0,1098.0,16344.0,0.0,4.0,36.0,20466.0,39644.0,47626.0,47940.0,31990.0,10990.0,38471.0,23.0,5.12319359395873e-06,6.51317289217442e-05,0.03309417431927,0.057655865281553,0.0607350540705978,0.0754706287959648,0.0629569495694957,0.0314079866023074,0.209861659647821,inf,0.0,9.0,3116.0,5845.0,7212.0,7741.0,5859.0,3191.0,10183.0,7.0,1.0,21.0,12072.0,25868.0,31543.0,31248.0,19883.0,5992.0,16605.0,14.0,1.28079839848968e-06,3.79935085376841e-05,0.0195208087746618,0.0376208738548888,0.0402252091409916,0.0491928704342159,0.039130135301353,0.0171243544787103,0.0905812913220886,inf,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W08,89377,29066,60311,0,4568,51654,31,33122,0.0,4.0,4956.0,7020.0,8965.0,9039.0,6585.0,3570.0,38585.0,0.0,4.0,40.0,25422.0,46664.0,56591.0,56979.0,38575.0,14560.0,77056.0,23.0,5.12319359395873e-06,7.23685876908269e-05,0.0411081842834204,0.0678653339092521,0.0721676698632932,0.0897004788937271,0.0759163591635916,0.0416105809763054,0.420345196273102,inf,0.0,5.0,918.0,1660.0,1944.0,1974.0,1799.0,1377.0,1002.0,0.0,1.0,26.0,12990.0,27528.0,33487.0,33222.0,21682.0,7369.0,17607.0,14.0,1.28079839848968e-06,4.70395819990375e-05,0.0210052440343652,0.0400350786870798,0.0427042950418282,0.0523004845611085,0.0426706027060271,0.0210596408801095,0.0960472626502869,inf,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W09,89335,32228,57105,2,7601,53212,28,28494,0.0,2.0,3876.0,5708.0,7301.0,7403.0,5923.0,5772.0,45023.0,0.0,4.0,42.0,29298.0,52372.0,63892.0,64382.0,44498.0,20332.0,122079.0,23.0,5.12319359395873e-06,7.59870170753683e-05,0.0473757998243903,0.0761667081153641,0.0814782697408692,0.101354819005878,0.0875729397293973,0.058106204149055,0.665948416941238,inf,0.0,2.0,899.0,1665.0,1797.0,1801.0,1178.0,348.0,656.0,1.0,1.0,28.0,13889.0,29193.0,35284.0,35023.0,22860.0,7717.0,18263.0,15.0,1.28079839848968e-06,5.06580113835788e-05,0.0224589556884756,0.0424565552205725,0.0449959192001632,0.0551357495269311,0.0449889298892989,0.0220541794913564,0.099625782801283,inf,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W10,92583,34858,57723,2,4108,53562,35,34877,1.0,10.0,4958.0,6694.0,8657.0,8787.0,6973.0,5798.0,38359.0,0.0,5.0,52.0,34256.0,59066.0,72549.0,73169.0,51471.0,26130.0,160438.0,23.0,6.40399199244841e-06,9.4079163998075e-05,0.0553930438522874,0.0859020618181871,0.0925181085492757,0.115187952406591,0.10129594095941,0.0746761319306909,0.875199109734011,inf,0.0,0.0,789.0,1489.0,1895.0,2048.0,1904.0,1423.0,2828.0,0.0,1.0,28.0,14678.0,30682.0,37179.0,37071.0,24764.0,9140.0,21091.0,15.0,1.28079839848968e-06,5.06580113835788e-05,0.0237347938365213,0.0446220678682426,0.0474125178534993,0.058359859826767,0.0487360393603936,0.0261209278930928,0.115052695891248,inf,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W11,65829,28368,37461,0,1847,62238,29,1714,0.0,12.0,511.0,750.0,656.0,837.0,961.0,9613.0,31173.0,0.0,5.0,64.0,34767.0,59816.0,73205.0,74006.0,52432.0,35743.0,191611.0,23.0,6.40399199244841e-06,0.0001157897403053,0.0562193471395515,0.0869928170134541,0.0933546725158131,0.116505618578936,0.103187207872079,0.102148832131599,1.0,inf,0.0,1.0,504.0,943.0,905.0,1033.0,940.0,805.0,16212.0,0.0,1.0,29.0,15182.0,31625.0,38084.0,38104.0,25704.0,9945.0,37303.0,15.0,1.28079839848968e-06,5.24672260758495e-05,0.0245497779006722,0.0459935107337583,0.0485666190573352,0.0599860834301511,0.0505859778597786,0.0284215128989943,0.203490148159462,inf,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W12,134679,57725,76951,3,8115,86945,22,39596,0.0,91.0,5221.0,6533.0,8400.0,9854.0,9877.0,23700.0,26144.0,1.0,5.0,155.0,39988.0,66349.0,81605.0,83860.0,62309.0,59443.0,217755.0,24.0,6.40399199244841e-06,0.0002804282773019,0.0646618705501304,0.0964940219343598,0.104066772087329,0.132018500851681,0.122625338253383,0.169880341000997,1.0,inf,0.0,1.0,418.0,692.0,700.0,839.0,1040.0,3075.0,38114.0,0.0,1.0,30.0,15600.0,32317.0,38784.0,38943.0,26744.0,13020.0,75417.0,15.0,1.28079839848968e-06,5.42764407681202e-05,0.025225697223718,0.0469999141939246,0.0494592940216282,0.0613068981477108,0.0526327183271833,0.0372094618345808,0.411404350956818,inf,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W13,141461,65195,76266,0,12989,92039,36,36395,0.0,67.0,5155.0,6137.0,7612.0,8764.0,9677.0,31777.0,19404.0,0.0,5.0,222.0,45143.0,72486.0,89217.0,92624.0,71986.0,91220.0,237159.0,24.0,6.40399199244841e-06,0.000401645661684,0.0729976698570706,0.105419308112165,0.113773974699041,0.145815425982425,0.141669864698647,0.260694862407869,1.0,inf,0.0,1.0,355.0,591.0,520.0,519.0,894.0,5244.0,44780.0,0.0,1.0,31.0,15955.0,32908.0,39304.0,39462.0,27638.0,18264.0,120197.0,15.0,1.28079839848968e-06,5.60856554603909e-05,0.0257997435387449,0.047859429287795,0.050122423995103,0.0621239456309212,0.0543921279212792,0.0521961298730249,0.655681991751947,inf,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W14,132600,63439,69158,3,8627,92351,83,31538,0.0,34.0,3803.0,4324.0,6401.0,8153.0,10331.0,50778.0,5317.0,0.0,5.0,256.0,48946.0,76810.0,95618.0,100777.0,82317.0,141998.0,242476.0,24.0,6.40399199244841e-06,0.0004631589612212,0.0791472420712885,0.111707875397944,0.121936849622526,0.158650470550082,0.16200147601476,0.405811763562735,1.0,inf,0.0,10.0,267.0,433.0,354.0,429.0,616.0,4555.0,36876.0,0.0,1.0,41.0,16222.0,33341.0,39658.0,39891.0,28254.0,22819.0,157073.0,15.0,1.28079839848968e-06,7.41778023830976e-05,0.0262314910489201,0.0484891586205292,0.0505738624770455,0.0627993085794709,0.0556044280442804,0.065213725775983,0.856842828776539,inf,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W15,157302,76683,80617,2,5026,141803,32,10441,0.0,42.0,1241.0,2039.0,3472.0,5310.0,11213.0,86983.0,3312.0,1.0,5.0,298.0,50187.0,78849.0,99090.0,106087.0,93530.0,228981.0,245788.0,25.0,6.40399199244841e-06,0.0005391459782966,0.0811539786260727,0.11467327518881,0.126364517445419,0.167009858095067,0.184068880688807,0.654397832591716,1.0,inf,0.0,12.0,296.0,497.0,443.0,459.0,658.0,10047.0,31308.0,0.0,1.0,53.0,16518.0,33838.0,40101.0,40350.0,28912.0,32866.0,188381.0,15.0,1.28079839848968e-06,9.58883786903457e-05,0.0267101324834214,0.0492119657299261,0.0511387982044481,0.0635218997062407,0.0568993849938499,0.0939267413713773,1.0,inf,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W16,190394,93777,96614,3,12726,126110,12,51546,0.0,528.0,2745.0,3750.0,6923.0,12266.0,23774.0,87579.0,1188.0,1.0,5.0,826.0,52932.0,82599.0,106013.0,118353.0,117304.0,316560.0,246976.0,26.0,6.40399199244841e-06,0.0014944113358155,0.0855927311183231,0.120127051165145,0.135193072842277,0.186319885896721,0.230856580565806,0.904687191885937,1.0,inf,0.0,80.0,439.0,754.0,804.0,754.0,1079.0,21466.0,26276.0,0.0,1.0,133.0,16957.0,34592.0,40905.0,41104.0,29991.0,54332.0,214657.0,15.0,1.28079839848968e-06,0.0002406255540719,0.0274200094758068,0.0503085382862345,0.052164099163436,0.0647089012521764,0.0590228782287823,0.155273769615702,1.0,inf,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W17,213426,104512,108910,4,14667,118897,63,79797,0.0,85.0,5574.0,8765.0,16358.0,26867.0,57677.0,45803.0,829.0,0.0,5.0,911.0,58506.0,91364.0,122371.0,145220.0,174981.0,362363.0,247805.0,26.0,6.40399199244841e-06,0.0016481945846585,0.0946060667801823,0.132874343547165,0.156053611507856,0.228615868038173,0.344366051660517,1.0,1.0,inf,0.0,34.0,303.0,441.0,439.0,531.0,922.0,29601.0,19260.0,0.0,1.0,167.0,17260.0,35033.0,41344.0,41635.0,30913.0,83933.0,233917.0,15.0,1.28079839848968e-06,0.0003021388536092,0.0279099701334213,0.0509499023410515,0.0527239338910426,0.0655448400066749,0.0608373923739237,0.239869566832709,1.0,inf,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W18,248367,123716,124647,4,10211,115786,364,122005,0.0,300.0,6103.0,9134.0,15544.0,24182.0,119688.0,14226.0,439.0,2.0,5.0,1211.0,64609.0,100498.0,137915.0,169402.0,294669.0,376589.0,248244.0,28.0,6.40399199244841e-06,0.0021909589923397,0.104474812303025,0.146158287485257,0.175876096714956,0.266684928228912,0.579914391143911,1.0,1.0,inf,0.0,49.0,397.0,663.0,873.0,1372.0,2959.0,47474.0,5322.0,0.0,1.0,216.0,17657.0,35696.0,42217.0,43007.0,33872.0,131407.0,239239.0,15.0,1.28079839848968e-06,0.0003907903735304,0.0285519317871275,0.0519141299336675,0.0538372270965109,0.0677047420239478,0.0666607626076261,0.375544066919874,1.0,inf,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-856336.314876336,7036491.65084485,2024/05/12 23:00:00+00,2021-W19,325288,163920,161361,7,22770,210662,919,90937,0.0,398.0,6521.0,9550.0,15302.0,43795.0,136783.0,5270.0,346.0,0.0,5.0,1609.0,71130.0,110048.0,153217.0,213197.0,431452.0,381859.0,248590.0,28.0,6.40399199244841e-06,0.0029110264398635,0.115019477148914,0.160047236971656,0.195389971434401,0.335630197067445,0.849106027060271,1.0,1.0,inf,0.0,192.0,1198.0,1725.0,2743.0,4689.0,8503.0,85601.0,3591.0,0.0,1.0,408.0,18855.0,37421.0,44960.0,47696.0,42375.0,217008.0,242830.0,15.0,1.28079839848968e-06,0.0007381595944464,0.0304891359713591,0.0544228668827816,0.0573352377065905,0.0750865062797734,0.0833948339483395,0.620180560199594,1.0,inf,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
